"자치구","동","동별총대수","수소차대수","고유번호","읍면동코드","읍면동영문명","위도","경도","여의도","양재","상암","하남"
"중구","주교동",167,NA,207,11140152,"Jugyo-dong",37.5682735,126.998942,0.091754795,0.10544786,0.119139566,0.212701523
"중구","방산동",38,NA,267,11140153,"Bangsan-dong",37.5685483,127.0031304,0.095702795,0.104387445,0.123315492,0.208627221
"중구","오장동",279,NA,268,11140154,"Ojang-dong",37.5644435,127.0010469,0.092219417,0.101137458,0.121444278,0.209989935
"중구","을지로3가",393,NA,310,11140155,"Euljiro 3(sam)-ga",37.5665987,126.9924032,0.085108551,0.106263939,0.112684402,0.218866915
"중구","입정동",181,NA,131,11140156,"Ipjeong-dong",37.5677264,126.992771,0.085919978,0.107159483,0.112996059,0.218689142
"중구","산림동",177,NA,203,11140157,"Sallim-dong",37.5676122,126.9961709,0.088956254,0.105787123,0.116397685,0.215318272
"중구","충무로3가",240,1,212,11140158,"Chungmuro 3(sam)-ga",37.5622482,126.9919612,0.08296732,0.102458264,0.112564752,0.218644327
"중구","초동",146,NA,96,11140159,"Cho-dong",37.564601,126.9923477,0.084238979,0.104451831,0.11275547,0.218608142
"중구","인현동1가",117,NA,311,11140160,"Inhyeon-dong 1(il)-ga",37.5645365,126.9945521,0.086238471,0.103530138,0.114958818,0.21641986
"중구","저동2가",238,NA,149,11140161,"Jeo-dong 2(i)-ga",37.5643088,126.9899006,0.081882547,0.105189374,0.110336816,0.220983053
"중구","신당동",19799,NA,4,11140162,"Sindang-dong",37.556819,127.0154305,0.103579902,0.089914948,0.136475751,0.194653282
"중구","흥인동",667,NA,279,11140163,"Heungin-dong",37.5676493,127.0160091,0.107350608,0.100427671,0.13621807,0.195800316
"중구","무학동",104,NA,9,11140164,"Muhak-dong",37.5642292,127.0152228,0.105481757,0.09721553,0.135603828,0.195968744
"중구","황학동",3303,NA,276,11140165,"Hwanghak-dong",37.5685914,127.0204705,0.111866728,0.100652569,0.140645551,0.191599728
"중구","서소문동",1296,NA,277,11140166,"Seosomun-dong",37.5629167,126.9739582,0.066965361,0.111648678,0.094583179,0.236567923
"중구","정동",357,NA,136,11140167,"Jeong-dong",37.5661453,126.9733062,0.068009831,0.114725841,0.093652325,0.237666425
"중구","순화동",1337,1,247,11140168,"Sunhwa-dong",37.5623459,126.9708088,0.063934441,0.112904022,0.091514419,0.239614665
"중구","의주로1가",58,NA,221,11140169,"Uijuro 1(il)-ga",37.5637065,126.9684915,0.062629675,0.11533592,0.089064294,0.242091149
"중구","충정로1가",33,NA,125,11140170,"Chungjeongno 1(il)-ga",37.5668791,126.9680884,0.064015149,0.118183233,0.088396578,0.242935423
"중구","중림동",1846,NA,198,11140171,"Jungnim-dong",37.5591646,126.9655627,0.057802312,0.113378082,0.086744756,0.24443386
"중구","의주로2가",3,NA,132,11140172,"Uijuro 2(i)-ga",37.5606655,126.9695132,0.061985206,0.112257493,0.090436209,0.240688333
"중구","만리동1가",585,NA,133,11140173,"Malli-dong 1(il)-ga",37.5558883,126.9669832,0.057548234,0.109913044,0.088711519,0.242668384
"중구","만리동2가",1540,NA,242,11140174,"Malli-dong 2(i)-ga",37.5542553,126.9643231,0.054443758,0.110288951,0.086435659,0.245156368
"용산구","후암동",4071,NA,199,11170101,"Huam-dong",37.5503851,126.9805049,0.06820213,0.097572347,0.103071243,0.228694856
"용산구","용산동2가",2281,NA,201,11170102,"yongsan-dong  2(i)-ga",37.5430767,126.9858631,0.07175687,0.088523036,0.1100489,0.222849202
"용산구","용산동4가",7,NA,306,11170103,"Yongsan-dong 4(sa)-ga",37.5305892,126.9858834,0.070735031,0.078338969,0.114068915,0.222516623
"용산구","갈월동",987,NA,270,11170104,"Garwol-dong",37.5449357,126.9730564,0.059586952,0.097549861,0.097229237,0.235739379
"용산구","남영동",245,NA,5,11170105,"Namyeong-dong",37.5428503,126.9733899,0.059456699,0.095720659,0.09816351,0.235294538
"용산구","용산동1가",13,NA,307,11170106,"Yongsan-dong 1(il)-ga",37.5402662,126.976971,0.062529276,0.091458016,0.102370505,0.23160302
"용산구","동자동",989,NA,464,11170107,"Dongja-dong",37.5515203,126.9729154,0.061340433,0.10285086,0.095417675,0.236353218
"용산구","서계동",1250,NA,281,11170108,"Seogye-dong",37.5526054,126.9665239,0.05577657,0.107620639,0.088945638,0.242814784
"용산구","청파동1가",1705,NA,231,11170109,"Cheongpa-dong 1(il)-ga",37.5488937,126.9671721,0.05505096,0.104341521,0.090483539,0.241870262
"용산구","청파동2가",717,NA,225,11170110,"Cheongpa-dong 2(i)-ga",37.5462385,126.9666851,0.053773669,0.102638683,0.090753227,0.242177301
"용산구","청파동3가",662,NA,36,11170111,"Cheongpa-dong 3(sam)-ga",37.5433004,126.9666026,0.052929582,0.100497931,0.091576003,0.242095795
"용산구","원효로1가",2004,NA,71,11170112,"Wonhyoro 1(iI)-ga",37.5399032,126.9675517,0.053172519,0.097357,0.093611976,0.241002194
"용산구","원효로2가",792,NA,62,11170113,"Wonhyoro 2(i)-ga",37.5363505,126.9634639,0.048622716,0.097710366,0.09115425,0.244987909
"용산구","신창동",619,NA,128,11170114,"Sinchang-dong",37.5358397,126.9549627,0.040120444,0.10369379,0.083652699,0.253477603
"용산구","산천동",1696,NA,63,11170115,"Sancheon-dong",37.5357089,126.9515061,0.03667533,0.106273926,0.080624877,0.256931351
"용산구","청암동",275,NA,283,11170116,"Cheongam-dong",37.5342588,126.9468778,0.031907351,0.109035047,0.077254898,0.261538347
"용산구","원효로3가",1140,NA,41,11170117,"Wonhyoro 3(sam)-ga",37.5343201,126.9577323,0.042721385,0.100599822,0.086808703,0.250685329
"용산구","원효로4가",1483,NA,16,11170118,"Wonhyoro 4(sa)-ga",37.532933,126.9506456,0.035555459,0.105231711,0.081185714,0.257758803
"용산구","효창동",2732,NA,51,11170119,"Hyochang-dong",37.543576,126.9607221,0.047306372,0.104736365,0.085934407,0.247982725
"용산구","도원동",1688,NA,26,11170120,"Dowon-dong",37.538784,126.9562609,0.041863291,0.104649721,0.083581073,0.252250217
"용산구","용문동",1727,NA,114,11170121,"Yongmun-dong",37.5377219,126.9597098,0.045081782,0.101385158,0.087165109,0.248773034
"용산구","문배동",2154,NA,139,11170122,"Munbae-dong",37.5371288,126.9690034,0.054214795,0.094343722,0.095967247,0.239467428
"용산구","신계동",1197,NA,140,11170123,"Singye-dong",37.535453,126.9646994,0.049760239,0.096197215,0.092645887,0.2437356
"용산구","한강로1가",4733,NA,116,11170124,"Hangangno 1(il)-ga",37.5358426,126.9730991,0.058161518,0.090609602,0.100248348,0.235344442
"용산구","한강로2가",3188,NA,53,11170125,"Hangangno 2(i)-ga",37.5312807,126.9686035,0.053455942,0.090492086,0.097924735,0.239795501
"용산구","용산동3가",226,NA,141,11170126,"Yongsan-dong 3(sam)-ga",37.5321655,126.9762897,0.061154045,0.085742758,0.104592341,0.232111051
